172,,3794,108.92,-79.09,6.49,  G5                
173,,3795,85.79,-85.86,6.14,  G3V               
174,,3807,116.05,-67.08,5.91,  K0III             
175,32    And,3817,120.76,-23.37,5.33,  G8III             
176,,3823,305.56,-57.61,5.89,  G1V               
177,,3856,121.98,3.29,5.83,  G9III-IV          
178,,3883,120.09,-38.19,6.04,  A7m               
179,19Xi  Cas,3901,121.41,-12.33,4.8,  B2V               
180,Mu  Phe,3919,308.31,-70.94,4.59,  G8III             
181,,3924,121.77,-4.1,6.17,  B9.5III           
183,Xi  Phe,3980,305.65,-60.57,5.7,  ApSrEuCr          
184,20Pi  Cas,4058,121.52,-15.82,4.94,  A5V               
185,Lam1Scl,4065,311.54,-78.52,6.06,  A0V               
186,,4088,304.92,-56.83,5.98,  K5III             
187,Rho Tuc,4089,304.43,-51.63,5.39,  F6V               
188,16Bet Cet,4128,111.31,-80.68,2.04,  G9.5IIICH-1       
189,,4142,121.72,-14.99,5.67,  B5V               
190,,4145,115.84,-74.78,6.02,  K2III-IV          
191,Eta Phe,4150,305.08,-59.63,4.36,  A0IV              
192,21    Cas,4161,122.55,12.12,5.66,  A2IV              
193,22Omi Cas,4180,121.78,-14.57,4.54,  B5IIIe            
194,17Phi1Cet,4188,116.69,-73.39,4.76,  K0III             
195,Lam2Scl,4211,310.14,-78.6,5.9,  K1III             
196,,4222,122.05,-7.64,5.42,  A2V s             
197,,4247,106.02,-84.66,5.24,  F1III-IV          
198,,4293,307.36,-74.4,5.94,  F0V               
199,,4294,304.31,-54.61,6.07,  F5III-IV          
200,,4295,122.5,6.46,6.33,  F3V               
201,,4301,119,-67.46,6.15,  M0III             
202,,4304,305.07,-63.39,6.15,  F7III             
203,18    Cet,4307,117.05,-75.68,6.15,  G0V               
204,,4321,122.19,-7.56,6.52,  A2III             
205,,4335,121.95,-18,6.05,  B9.5IIIpHgMnCr    
206,,4338,115.55,-79.21,6.47,  F1IVn             
207,,4362,122.33,-3.29,6.39,  G0Ib              
208,23    Cas,4382,122.69,11.98,5.41,  B8III             
209,,4391,305.68,-69.54,5.8,  G1V               
210,,4398,108.14,-85.24,5.5,  G3V               
211,57    Psc,4408,121.19,-47.38,5.38,  M4IIIa            
212,,4440,122.68,9.8,5.87,  K0IV              
213,58    Psc,4482,121.22,-50.88,5.5,  G8II              
214,59    Psc,4490,121.57,-43.28,6.13,  F0Vn              
215,34Zet And,4502,121.74,-38.59,4.06,  K1IIe             
216,60    Psc,4526,121.13,-56.12,5.99,  G8III             
217,61    Psc,4568,121.82,-41.94,6.54,  F8V               
218,,4585,117.34,-80.89,5.7,  K3III             
219,24Eta Cas,4614,122.6,-5.05,3.44,  F9V+dM0           
220,,4622,114.55,-84.54,5.57,  B9V               
221,62    Psc,4627,121.55,-55.56,5.93,  G8III             
222,,4628,121.49,-57.57,5.75,  K2V               
223,25Nu  Cas,4636,122.51,-11.9,4.89,  B9III             
224,63Del Psc,4656,121.73,-55.28,4.43,  K4IIIb            
225,64    Psc,4676,122.09,-45.92,5.07,  F8V               
226,35Nu  And,4727,122.6,-21.79,4.53,  B5V+F8V           
227,,4730,120.84,-76.42,5.59,  K5III             
228,,4732,113.36,-86.97,5.9,  K2III             
229,,4737,304.21,-70.42,6.27,  G8III             
230,65    Psc,4757,122.51,-35.16,7,  F4III             
231,65    Psc,4758,122.51,-35.16,7.1,  F5III             
232,,4772,116.39,-86.21,6.28,  A3V               
233,,4775,122.85,1.38,5.39,  G0III-IV+B9.5V    
234,,4778,122.72,-17.87,6.15,  A0pCr             
235,19Phi2Cet,4813,121.81,-73.51,5.19,  F7IV-V            
236,Lam Hyi,4815,303.18,-42.2,5.07,  K5III             
237,,4817,122.91,-1.07,6.07,  K2Ib-IICN-2       
238,,4818,122.85,-11.36,6.39,  F2IV              
239,,4849,303.82,-73.73,6.48,  A9-F0III          
240,,4853,123.03,20.84,5.62,  A4V               
241,,4881,122.95,-11.3,6.21,  B9.5V             
242,Rho Phe,4919,303.23,-66.14,5.22,  F2III             
243,,4928,122.87,-59.49,6.37,  K0III             
244,,5015,123.13,-1.75,4.82,  F8V               
245,,5042,302.66,-73.42,6.9,  F2V+F5V           
246,,5066,123.24,-24.32,6.69,  A2V               
247,,5098,128.1,-86.87,5.46,  K2III             
248,20    Cet,5112,123.83,-64.01,4.77,  M0III             
249,,5118,123.38,-25.45,6.06, gK3                
250,,5128,123.29,-10.18,6.27,  A5m               
251,,5156,132.59,-87.62,6.46,  F6IV-V            
252,Lam1Tuc,5190,302.81,-47.62,6.22,  F7IV-V            
253,26Ups1Cas,5234,123.39,-3.9,4.83,  K2III             
254,66    Psc,5267,123.96,-43.68,5.74,  A1VN              
255,21    Cet,5268,125.17,-71.6,6.16,  G5IV              
256,,5273,123.55,-14.19,6.27,  M2.5IIIa          
257,,5276,302.51,-54.25,5.7,  M4III             
258,36    And,5286,123.97,-39.24,5.47,  K1IV              
259,,5316,124.03,-38.31,6.2,  M4IIIab           
260,,5343,123.57,-4.87,6.21,  K3III             
261,,5357,123.43,5.91,6.37,  F4III             
262,67    Psc,5382,124.17,-35.65,6.09,  A5IV              
263,,5384,126.06,-70.19,5.85,  K5III             
264,27Gam Cas,5394,123.58,-2.15,2.47,  B0IVe             
265,28Ups2Cas,5395,123.6,-3.68,4.63,  G8IIIbFe-0.5      
266,,5408,123.59,-2.5,5.55,  B9IVn             
267,22Phi3Cet,5437,127.04,-74.1,5.31,  K4III             
268,,5445,246.23,-88.81,6.1,  M0III             
269,37Mu  And,5448,124.07,-24.36,3.87,  A5V               
270,Lam2Tuc,5457,302.47,-47.6,5.45,  K2III             
271,38Eta And,5516,124.65,-39.43,4.42,  G8IIIb            
272,,5526,124.07,-17.02,6.12,  K2III             
273,,5550,123.64,3.49,5.97,  A0III             
274,68    Psc,5575,124.62,-33.86,5.42, gG6                
275,,5608,124.54,-28.9,5.98,  K0                
276,,5612,125.34,-49.15,6.32,  G8III             
277,,5641,125.07,-41.44,6.37,  A2V               
278,,5715,123.68,8.12,6.39,  A4IV              
279,23Phi4Cet,5722,129.49,-74.16,5.61,  G7III             
280,Alp Scl,5737,268.05,-87.27,4.31,  B7IIIp            
281,,5771,301.4,-56.41,6.23,  Am                
282,,5788,124.54,-18.13,6.84,  A2Vn              
283,,5789,124.54,-18.13,6.04,  B9.5Vn            
284,,5820,126.69,-56.33,6.11,  M2III             
