250.3862,-39.6108,272481,10,K0
250.5191,-39.5434,272482,12.4,G5
250.6155,-39.5312,272483,11.7,G5
250.4844,-39.7194,272484,12.6,K2
250.5336,-39.7732,272485,11.4,G0
250.6406,-39.8493,272486,10.7,F2
250.4795,-40.0032,272487,12,G0
250.8301,-39.8455,272488,10.8,F5
250.8251,-39.8172,272489,11.2,G5
250.8002,-39.5584,272490,12.3,F8
251.0951,-39.6249,272491,12.2,G5
251.2131,-39.6066,272492,12,K0
251.4074,-39.6298,272493,10.8,F5
251.34,-39.7665,272494,10.4,G0
251.4262,-39.8086,272495,11.4,F8
251.5406,-39.7813,272496,11.3,G0
251.5732,-39.8361,272497,11.9,G5
251.4074,-40.0824,272498,12.1,G 
251.6767,-40.0004,272499,11.9,G5
251.7521,-39.9646,272500,10.9,F5
251.8069,-39.8434,272501,11.5,A2
251.787,-39.6773,272502,12.4,K7
251.8127,-39.625,272503,12.5,K0
252.0011,-39.6027,272504,12.4,G0
252.0787,-39.6583,272505,12.3,K2
252.2601,-39.5752,272506,11.3,G0
252.2269,-39.6238,272507,12.5,G 
252.2528,-39.667,272508,11.8,G0
252.3693,-39.7375,272509,11.9,K0
252.126,-39.8629,272510,10.8,G0
252.1815,-39.8711,272511,11.6,K0
252.0828,-40.017,272512,11.8,G0
252.2432,-39.9824,272513,12.2,G5
252.3224,-39.8742,272514,11.4,F8
252.5877,-39.7792,272515,10.9,K0
252.706,-40.1383,272516,11.6,G5
252.7752,-40.1357,272517,11.1,K7
252.8083,-40.0983,272518,10.3,K0
248.7997,-39.341,272519,11.5,F5
248.8085,-39.3618,272520,11.8,G5
249.0142,-39.4241,272521,11.5,K2
248.9817,-39.2745,272522,11.8,G5
248.8834,-39.1262,272523,9.7,F8
249.0382,-38.9126,272524,11.5,K7
249.1189,-39.292,272525,11.2,K0
249.1354,-39.2896,272526,11.9,G 
249.2103,-39.1712,272527,11.5,G 
249.3638,-39.0558,272528,11.4,F5
249.3695,-39.0043,272529,12,K7
249.5188,-39.0553,272530,11.5,G 
249.2507,-39.3505,272531,11.4,G0
249.3565,-39.4635,272532,11.4,F0
249.5097,-39.4623,272533,12.5,K5
249.499,-39.38,272534,12.2,K5
249.5043,-39.3417,272535,11.4,K2
249.5862,-39.155,272536,11.5,F5
249.8341,-39.0869,272537,11.4,K0
249.9057,-39.0984,272538,11.4,F8
249.7915,-38.9338,272539,12.1,K2
249.9103,-39.0098,272540,11.8,K 
250.0296,-39.0329,272541,10.5,G5
250.1803,-38.9574,272542,10.7,G5
250.0254,-39.1564,272543,11.7,K0
250.177,-39.1261,272544,11.8,K2
249.9129,-39.3732,272545,11.4,G5
250.0098,-39.3683,272546,11.9,G 
250.0942,-39.404,272547,12.4,K0
250.2348,-39.442,272548,12.1,K0
250.2697,-39.4732,272549,12.2,F 
250.2661,-39.3691,272550,10.7,F2
250.2299,-39.2738,272551,12,G0
250.341,-39.3105,272552,11.5,G5
250.422,-39.1544,272553,11,F8
250.3977,-39.0561,272554,11.5,F8
250.5711,-38.9816,272555,11.5,G5
250.7196,-38.8805,272556,11.8,F2
250.6838,-39.1183,272557,12,K0
250.7536,-39.3731,272558,12,K5
251.0298,-39.2971,272559,11.4,K0
250.9568,-39.2278,272560,12.2,F5
250.8612,-39.0799,272561,11.9,G5
251.0106,-39.0035,272562,11.8,G 
251.039,-38.971,272563,11.7,G0
251.3416,-38.976,272564,11.2,G0
251.2463,-39.214,272565,11.9,F5
251.2437,-39.3622,272566,11.7,F5
251.4761,-39.4196,272567,11.9,F2
251.6658,-39.4247,272568,12,F8
251.7501,-39.3872,272569,12,G0
251.5098,-39.1791,272570,12,G 
251.5752,-39.023,272571,12.4,G5
251.7669,-38.8701,272572,11.9,F8
252.0023,-38.8833,272573,11.7,G0
251.9332,-39.2074,272574,12.2,F8
252.1066,-39.1831,272575,12.6,G 
252.1949,-39.1815,272576,12.4,G 
252.0942,-39.3513,272577,11.4,F5
252.1008,-39.4711,272578,12,K5
252.3727,-39.2721,272579,12.3,G0
252.424,-39.2385,272580,11.6,G5
252.3782,-38.9387,272581,12.4,F8
252.6289,-39.0108,272582,12,K0
252.5313,-39.292,272583,12.2,F2
252.5817,-39.388,272584,11.3,F5
252.7455,-39.3769,272585,11.1,F8
248.9586,-38.7705,272586,11.1,F0
248.9228,-38.4909,272587,10.9,K0
249.0175,-38.2997,272588,11.8,G5
249.0643,-38.3272,272589,11.8,F5
249.142,-38.2787,272590,10.8,F2
249.2498,-38.572,272591,11.5,G0
249.3386,-38.5671,272592,11.7,F2
249.2227,-38.6508,272593,11.9,G5
249.1807,-38.7057,272594,11.7,G5
249.1768,-38.7113,272595,11.5,G5
249.2924,-38.7679,272596,11,G0
249.3072,-38.8221,272597,10.1,K0
249.3955,-38.7447,272598,11.3,F5
249.4855,-38.7267,272599,11,K2
249.5948,-38.8115,272600,12.1,K5
249.6615,-38.7615,272601,11.7,A3
249.5823,-38.7017,272602,11.7,G 
249.6728,-38.55,272603,11.5,G5
249.844,-38.2968,272604,11.7,K5
250.1138,-38.4104,272605,11.5,F 
